id,title,slug,start,end,location,city,price
2,SILENT DISCO MILTON KEYNES: POP VS INDIE VS DANCE,silent-disco-milton-keynes-pop-vs-indie-vs-dance,2025-09-19T20:30:00,2025-09-20T00:30:00,"MK11 Music Venue, Milton Keynes",Milton Keynes,15
3,FOOTLOOSE 80s DAY PARTY BEDFORD,footloose-80s-day-party-bedford,2025-09-20T14:00:00,2025-09-20T18:00:00,"Bedford Esquires, Bedford",Bedford,12
4,SILENT DISCO NORTHAMPTON: POP VS INDIE VS DANCE,silent-disco-northampton-pop-vs-indie-vs-dance,2025-09-27T20:30:00,2025-09-28T00:30:00,"The Picturedrome, Northampton",Northampton,15
5,THE 2PM CLUB™ COVENTRY - 80s 90s 00s Daytime Disco,the-2pm-club-coventry-80s-90s-00s-daytime-disco,2025-10-04T14:00:00,2025-10-04T18:00:00,"hmv Empire, Coventry",Coventry,10
6,THE 2PM CLUB™ MK - 80s 90s 00s Daytime Disco,the-2pm-club-mk-80s-90s-00s-daytime-disco,2025-10-11T14:00:00,2025-10-11T16:00:00,"MK11 Music Venue, Milton Keynes",Milton Keynes,10
7,THE 2PM CLUB™ NORTHAMPTON - 80s 90s 00s Daytime Disco,the-2pm-club-northampton-80s-90s-00s-daytime-disco,2025-10-18T14:00:00,2025-10-18T18:00:00,"cinch Stadium at Franklin's Gardens, Northampton",Northampton,10
8,FAMILY SILENT DISCO Halloween Party Bedford,family-silent-disco-halloween-party-bedford,2025-10-25T13:00:00,2025-10-25T15:00:00,"Bedford Esquires, Bedford",Bedford,8
9,THE 2PM CLUB™ BIRMINGHAM - 80s 90s 00s Daytime Disco,the-2pm-club-birmingham-80s-90s-00s-daytime-disco,2025-10-25T14:00:00,2025-10-25T18:00:00,"The Castle & Falcon, Birmingham",Birmingham,12
10,FAMILY SILENT DISCO Halloween Party Northampton,family-silent-disco-halloween-party-northampton,2025-10-26T13:00:00,2025-10-26T15:00:00,"The Picturedrome, Northampton",Northampton,8
17,FAMILY SILENT DISCO Halloween Party Milton Keynes,family-silent-disco-halloween-party-milton-keynes,2025-10-26T13:00:00,2025-10-26T15:00:00,"MK11 Music Venue, Milton Keynes",Milton Keynes,8
11,THE 2PM CLUB™ LUTON - 80s 90s 00s Daytime Disco,the-2pm-club-luton-80s-90s-00s-daytime-disco,2025-11-01T14:00:00,2025-11-01T18:00:00,"Hat Factory, Luton",Luton,10
18,THE 2PM CLUB™ BEDFORD - 80s 90s 00s Daytime Disco,the-2pm-club-bedford-80s-90s-00s-daytime-disco,2025-11-08T14:00:00,2025-11-08T18:00:00,"Bedford Esquires, Bedford",Bedford,10
12,FAMILY SILENT DISCO Luton,family-silent-disco-luton,2025-11-16T13:00:00,2025-11-16T15:00:00,"Hat Factory, Luton",Luton,8
13,CHRISTMAS SILENT DISCO NORTHAMPTON,christmas-silent-disco-northampton,2025-12-05T20:30:00,2025-12-06T00:00:00,"The Picturedrome, Northampton",Northampton,15
14,THE 2PM CLUB™ Northampton - Christmas Daytime Disco,the-2pm-club-northampton-christmas-daytime-disco,2025-12-06T14:00:00,2025-12-06T17:30:00,"The Picturedrome, Northampton",Northampton,10
15,Boombastic's Christmas Decades Party NORTHAMPTON,boombastics-christmas-decades-party-northampton,2025-12-06T20:30:00,2025-12-07T00:30:00,"The Picturedrome, Northampton",Northampton,12
16,Christmas FAMILY SILENT DISCO Northampton,christmas-family-silent-disco-northampton,2025-12-07T13:00:00,2025-12-07T15:00:00,"The Picturedrome, Northampton",Northampton,8